averagerank.wholebrain,finalrank.wholebrain,finalrank.wholebrain.zscore,averagerank.hemisphere,finalrank.hemisphere
16855.4,7984,-1.26655076524704,8376.45,3911
17823.4,9229,-1.19395987088715,8895.85,4523
18192.35,9770,-1.16241635775567,9097.9,4805
19529.55,11468,-1.06341287291785,9635.05,5524
16953.1,8114,-1.2589709931452,8482.85,4044
18266.15,9870,-1.15658576383118,9022.15,4709
17287.45,8508,-1.23599845308272,8658.5,4231
17614.05,8922,-1.21185979423533,8808.8,4413
20329.9,12588.5,-0.998081067993959,10105.2,6263
22105.65,15388.5,-0.834824438108278,10989.55,7646
23318.9,17533,-0.70978735139762,11458.6,8508
24705.55,19800,-0.577607787129464,12217.3,9811
26407.05,22550,-0.417266454206027,13047,11135
29093.1,27127,-0.150400170282184,14553.05,13467.5
31008.35,30449,0.0432921598893279,15381.8,14855
13691,3889,-1.50531358645485,6828.95,1937
14093.8,4436,-1.47342023768789,7031.45,2186
14052.05,4393,-1.47592739307542,7013.45,2167
17560.7,8849,-1.21611612780021,8774.95,4373
17603.85,8911,-1.21250115956703,8790.3,4389.5
17730.3,9092,-1.2019477845637,8860.05,4480
19827.95,11881,-1.03933252000972,9788.05,5738
17806.6,9205,-1.19535921342903,8921.15,4564
19313.05,11181,-1.08014667748114,9561.35,5410
17829.65,9242,-1.19320189367697,8930.2,4577.5
18058.45,9585,-1.17320295651597,9025.3,4713
20976.5,13575,-0.940562258928879,10449.6,6799
23104.35,17142,-0.732584973642371,11480.35,8550.5
23198.95,17307,-0.722964493666964,11413.35,8411
23711.75,18164.5,-0.672967150764475,11689.45,8944
25498.4,21076,-0.503209408652989,12610.35,10442
28707.05,26472,-0.188590560487584,14358.8,13163
14189.55,4554,-1.466540136857,7067,2217
14836.4,5447,-1.41447293311131,7396.15,2647
14496.4,4964,-1.44263470176659,7255.35,2465
17884.85,9317,-1.1888289482336,8963.2,4629
17516.7,8800,-1.21897311882321,8758.05,4354
17750.6,9125,-1.20002368856862,8893.45,4520
18017.2,9535,-1.17611825347822,9029.35,4717
18551.5,10237.5,-1.13515833115869,9334.35,5107
21755.8,14815,-0.86826289426522,10801.9,7342
18383.9,10023,-1.14766495512671,9215.35,4955
20001.2,12128,-1.02493095301623,9798.5,5759
21967,15151,-0.848672098678939,10935.9,7561
22734.75,16487,-0.770775363847771,11161.9,7963
23141.35,17204,-0.728970005409188,11382.65,8360
23460.7,17761,-0.696493597249786,11532.7,8642
24629.4,19678,-0.58472111171734,12318.6,9962
12919.65,3036,-1.55504855263073,6414.7,1477
15343.4,6177,-1.37190959746255,7649.15,3029
15042.1,5755,-1.39651470382389,7548.85,2884
18097.8,9639,-1.17005443579675,9074.55,4775
19539.45,11483,-1.06253828382918,9653.85,5550
19637.85,11626,-1.05420053451716,9708.65,5625
18332.5,9961,-1.1512799233599,9219.55,4961
21471.95,14366,-0.894442260986174,10704.65,7190
23290,17471,-0.713402319630803,11618.9,8818
19137.85,10952,-1.09349873756822,9591,5455
20527.85,12878.5,-0.981172345612942,10063.05,6183
22438.3,15968.5,-0.801006993346244,11018.1,7698
22920.55,16828,-0.750893038565265,11247.1,8101
23669.4,18106,-0.6763780482103,11768.25,9053
23574,17961,-0.684832409400809,11747.2,9026
13602.4,3794,-1.51085265068311,6770.85,1856
16404.7,7460,-1.29710307741136,8196.15,3707
16286.35,7312,-1.3057323564196,8164.3,3672
