G1.fMRI,T1T2ratio,Evolution.Expansion,CBF,AllometricScaling.PNC20mm,PET.AG,Externopyramidisation,Cortical.Thickness,PC1.AHBA,PC1.Neurosynth
-0.910968319,1.358643571,0.434380279,57.78441729,1.097034426,0.365215456,0.262867383,2.250103837,-4.380458611,-14.94083542
-5.244828921,1.443907533,0.670584758,52.64387264,0.971357083,0.080218584,0.178524626,2.28167113,-9.078681104,-29.51168435
-5.141620656,1.372950756,1.063408396,55.75845594,1.065692732,-0.086048487,0.206390301,2.1490207,-2.926697227,-33.71977001
-4.977772156,1.553039401,0.097161012,56.90701786,0.988951637,0.021382541,0.17798547,1.9842642,-7.401215365,-26.29931758
-5.218333804,1.429493946,-0.35321614,58.24609603,0.861694437,0.196055642,0.32389906,2.818259215,-6.923811445,-33.71977001
-5.058044201,1.399763448,0.217010488,49.08509706,0.961429396,0.140634658,0.191479793,2.621255823,-3.022198009,-26.29931758
-4.155620995,1.3003061,-0.309915233,68.73259652,1.007155542,0.153971197,0.194048767,2.95391055,0.13943078,-33.71977001
-2.6184304,1.17348748,0.840547826,64.36785978,0.92149405,-0.485833393,0.105852812,2.901209188,6.489524042,-32.3564771
0.030577257,1.099204595,0.585081364,49.43572229,0.888007942,-0.323208508,0.101734945,2.316063968,10.34005797,-22.58209719
-2.555705524,1.141324758,0.947093333,66.10714577,0.971675591,-0.237060949,0.19784916,3.035419491,11.49930504,-20.28943282
-2.333168318,1.223635516,1.118652697,53.3061131,1.062647388,0.005704864,0.169947388,2.837993107,9.836965501,-18.88847677
4.738901309,1.100247786,0.604936275,60.39815879,1.156425945,-0.08426746,0.134719616,3.137868337,12.40959912,24.51642069
4.979694786,1.181754927,1.04189866,54.72726068,1.101074305,0.347818448,0.146740484,3.011285847,7.420041589,-1.614807537
4.42519095,1.215447155,0.884212724,60.97764484,1.092740344,0.572590104,0.178993263,3.043634112,2.14529388,5.16854697
4.093168737,1.167166062,0.458971667,56.52196933,1.175585851,0.140531348,0.168694249,2.724460806,10.75163022,19.94026422
5.583165024,1.210054707,0.26933957,65.60394547,1.024213607,0.118801999,0.210955039,2.61342293,6.467823953,20.21736591
4.503989118,1.383215265,0.922613596,77.09830649,0.96197304,0.421979193,0.223747877,2.723082069,-1.922118949,29.51260974
6.093618148,1.256405544,1.366006434,72.73271848,1.229305547,0.636745684,0.137200859,2.732538446,-0.153167137,1.154318187
